employee_id,first_name,last_name,department,salary,joining_date,age
1,Joshua,Ramos,Operations,65313.8,23-05-2024,42
2,Christina,Clark,IT,58827.32,02-10-2021,46
3,Jonathon,Sullivan,Operations,57427.31,30-04-2020,50
4,Clinton,Aguirre,HR,45352.74,04-04-2021,55
5,Veronica,Weber,Operations,78772.56,06-10-2020,51
6,Louis,Rivera,Finance,30448.72,05-05-2020,41
7,Sabrina,Gonzalez,Marketing,88476.72,15-10-2020,48
8,Jillian,Lewis,Marketing,49895.55,08-06-2021,33
9,Caroline,Kennedy,Finance,88878.64,17-07-2024,47
10,Adam,Sanchez,HR,88331.24,23-03-2020,38
11,Sara,Miller,Marketing,68588.45,21-07-2020,26
12,Hannah,Carrillo,Operations,82047.41,13-05-2024,59
13,Elizabeth,Johnson,IT,83585.45,11-12-2023,27
14,Victor,Lamb,Finance,55038.09,29-10-2024,56
15,Tammy,Collins,HR,39382.83,12-03-2021,52
16,Miranda,Mcmahon,Operations,41564.15,20-04-2021,37
17,Carla,Melton,Finance,41986.9,08-11-2024,28
18,Robert,Sullivan,Finance,72896.95,09-06-2024,46
19,Jessica,Williams,Operations,98452.12,02-07-2020,28
20,Kristina,Rivera,IT,85703.19,18-12-2022,59
21,Jason,Harding,Finance,54100.54,31-08-2022,47
22,Karen,Brown,Marketing,78103.24,07-02-2020,41
23,David,Webster,Marketing,35390.49,21-06-2022,54
24,Margaret,Barry,Marketing,58500.34,17-11-2024,53
25,Monica,Olson,IT,75404.05,02-01-2021,24
26,Eduardo,Smith,IT,96756.21,31-03-2021,42
27,Carrie,Olson,Marketing,72155.31,31-05-2021,23
28,Bradley,Flowers,HR,71647.02,20-01-2021,23
29,Derek,Dunlap,Finance,87172.65,04-05-2020,48
30,Christopher,Wilson,HR,85120.78,06-04-2021,28
31,Kristina,Banks,Operations,91453.39,14-09-2021,36
32,Nancy,Ortiz,HR,37425.94,18-04-2023,35
33,Kristine,Roberts,Finance,64355.51,02-02-2022,59
34,Robert,Duke,Marketing,49302.91,04-02-2020,48
35,Kenneth,Phillips,Finance,51958.01,01-11-2021,40
36,Douglas,Webster,Finance,96160.89,11-10-2024,26
37,Dylan,Warner,IT,57348.57,15-12-2022,31
38,Anthony,Moran,Marketing,61178.71,17-07-2022,33
39,Jessica,Stokes,IT,60328.03,24-12-2022,24
40,Katie,Gordon,HR,77255.03,28-12-2021,37
41,Kathleen,Bailey,Finance,92873.35,22-11-2024,24
42,James,Vaughn,HR,47270.87,18-11-2023,51
43,Jaime,Evans,HR,31594.03,21-04-2020,55
44,Vanessa,Rosario,Marketing,65408.88,15-04-2021,42
45,Dwayne,Kline,HR,55993.32,17-04-2023,31
46,Jeremiah,Silva,HR,34163.36,23-12-2021,46
47,Michelle,Perez,Finance,44352.52,29-11-2023,29
48,Ricardo,Wilson,IT,31024.79,27-12-2022,60
49,Barbara,Gay,IT,87649.9,16-04-2021,53
50,Eugene,Taylor,Finance,35104.03,09-01-2023,38
51,Joshua,Freeman,Finance,35893.46,25-03-2023,59
52,Melissa,Garcia,HR,49094.01,20-06-2021,51
53,David,Flynn,Operations,35475.54,09-03-2023,55
54,Steven,Robinson,HR,41451.52,08-12-2022,25
55,Thomas,Davis,Operations,61914.65,08-12-2022,33
56,Larry,Vargas,Finance,43182.66,23-09-2022,51
57,William,Hodge,Operations,60669.47,27-05-2024,41
58,David,King,Finance,32339.87,28-10-2021,39
59,Fred,Nicholson,HR,59827.76,29-01-2020,52
60,Rickey,Moore,Operations,77195.29,30-12-2022,30
61,Michael,Carlson,HR,37731.53,13-07-2020,36
62,Christy,Martin,IT,38943.3,21-05-2020,28
63,Alexis,Rodriguez,IT,75687.13,18-10-2020,36
64,Susan,Parker,Operations,77946.72,19-06-2020,42
65,Donna,Gibbs,HR,98453.91,26-09-2024,23
66,Stephen,Cox,Finance,57193.92,11-05-2023,34
